PC1,PC2,PC3,banco
0.0839839268718994,-0.2058997075852107,-0.17890090184937502,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB CREDIAUC
0.12541998074701174,-0.1709709787461762,0.02874342005179149,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL
0.053762408733497136,-0.23929156934729112,-0.2075639549841258,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA, CIRCUITO DO OURO, GRANDE BH E RIO GRANDE DO NORTE LTDA. -  SICOOB CREDIMEPI"
0.027243858233426312,0.4487804876684217,0.27596933009183394,RANDON - PRUDENCIAL
0.05524837550066406,-0.7056462139260046,-0.37644220534649664,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO RAÍZES - SICREDI RAÍZES RS/SC/MG"
0.06591145547206168,-0.09391807383544404,-0.15082860389957697,COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI
-0.020784062145425233,0.591296792681739,0.08544694252714388,BMP SCMEPP LTDA - PRUDENCIAL
0.10895164789479904,-0.5675975394951576,-0.09517200745677208,COOPERATIVA DE CRÉDITO ROTA DAS TERRAS - SICREDI ROTA DAS TERRAS RS/MG
0.11084894881096859,-0.4292045538574699,-0.2406145963248903,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE
0.05037849434826234,-0.6851230189245225,-0.13977371806900035,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ - SICREDI BOTUCARAÍ RS/MG"
0.07131814526387054,-0.5672518775637044,-0.11318890954319762,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP/RJ"
0.06307196364336017,-1.3252350259614185,-0.058035608850848,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DO SUL DE MATO GROSSO, AMAPÁ E PARÁ - SICREDI INTEGRAÇÃO MT/AP/PA"
0.11044466197565933,0.434912031577852,0.29280288058262344,OURIBANK - PRUDENCIAL
0.09661021609963452,-0.3016528006106848,-0.1748767183377178,COOPERATIVA DE CRÉDITO CREDIVAR LTDA. - SICOOB CREDIVAR
0.11065194277781233,-1.5178749364519946,-0.2266265371231111,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DE MATO GROSSO, ACRE E AMAZONAS - SICREDI BIOMAS"
0.17707343089022556,0.5493233342054046,0.20516471754458301,BCO KDB BRASIL S.A. - PRUDENCIAL
0.11517171707639116,-0.6233902560716881,-0.04888420212297924,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PROGRESSO - SICREDI PROGRESSO PR/SP"
0.12792910078131545,0.2957568258325374,0.16269180409475248,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL
